"","SampleID","Syringe","ResetTime","H2O_mL","air_mL","DATETIME","samplenum","ENDTIME","CO2","delCO2","CH4","delCH4","pH","WaterTemp_C","Baro_inHg","AirTemp_C","pRH","Syringes","CO2_vol_air","equiltemp","volair","volwater","pressure","kH_CO2","CO2_mol_water","CO2_mol_air","CO2_conc"
"1","BeaverDwn_810_0000",12,"2018-08-10 20:48:55",40,70,2018-08-10 20:48:55,5,2018-08-10 20:49:35,793.349031141552,-21.4571098517529,26.0211507462069,-63.2693693775862,7.95,9.65,26.51,9.9,94.7,"14_12_4",793.349031141552,9.65,70,40,0.9,44.8901919486071,17.673104005655,31.457792585492,29.0896964121064
"2","BeaverDwn_810_0000",14,"2018-08-10 21:03:18",40,70,2018-08-10 21:03:18,11,2018-08-10 21:03:58,858.129625289844,-20.8760910250156,27.846837001875,-63.46592132775,7.95,9.65,26.51,9.9,94.7,"14_12_4",858.129625289844,9.65,70,40,0.9,44.8901919486071,19.1161941626866,34.0264659112155,31.4650038029255
"3","BeaverDwn_810_0000",4,"2018-08-10 21:12:39",40,70,2018-08-10 21:12:39,15,2018-08-10 21:13:19,804.954237379091,-21.4155971946212,25.6712715095455,-63.5074016601818,7.95,9.65,26.51,9.9,94.7,"14_12_4",804.954237379091,9.65,70,40,0.9,44.8901919486071,17.9316283231903,31.9179610062022,29.5152240336176
"4","BeaverDwn_810_0200",37,"2018-08-10 21:17:34",40,70,2018-08-10 21:17:34,17,2018-08-10 21:18:14,820.08793034625,-21.3702189295,25.0746835602813,-63.2116237916875,7.94,8.83,26.61,8.7,94.8,"38_37_54",820.08793034625,8.83,70,40,0.9,46.011819944876,17.8234186634814,32.6126033238818,29.9581897921098
"5","BeaverDwn_810_0200",54,"2018-08-10 21:24:39",40,70,2018-08-10 21:24:39,20,2018-08-10 21:25:19,838.215849352812,-21.7594543727344,25.2098548229063,-63.1993507369375,7.94,8.83,26.61,8.7,94.8,"38_37_54",838.215849352812,8.83,70,40,0.9,46.011819944876,18.2174026230005,33.3334999616349,30.6204110223446
"6","BeaverDwn_810_0200",38,"2018-08-10 21:22:15",40,70,2018-08-10 21:22:15,19,2018-08-10 21:22:55,826.114981143333,-21.7282534588636,25.5932678129091,-63.3575638300909,7.94,8.83,26.61,8.7,94.8,"38_37_54",826.114981143333,8.83,70,40,0.9,46.011819944876,17.9544078485279,32.8522822773023,30.1783607335228
"7","BeaverDwn_810_0400",52,"2018-08-10 21:26:56",40,70,2018-08-10 21:26:56,21,2018-08-10 21:27:36,822.061746033906,-21.7929118339219,24.86925553975,-63.051997501875,7.92,8.3,26.63,7.6,95.2,"36_52_31",822.061746033906,8.3,70,40,0.9,46.7552189126681,17.5822456861853,32.7526572318467,29.9597583367668
"8","BeaverDwn_810_0400",31,"2018-08-10 21:20:09",40,70,2018-08-10 21:20:09,18,2018-08-10 21:20:49,914.878335858437,-21.1519401575625,26.2014684190625,-63.1519635706875,7.92,8.3,26.63,7.6,95.2,"36_52_31",914.878335858437,8.3,70,40,0.9,46.7552189126681,19.5674056743761,36.4506640623779,33.342427113415
"9","BeaverDwn_810_0400",36,"2018-08-10 21:29:23",40,70,2018-08-10 21:29:23,22,2018-08-10 21:30:03,810.056375181719,-21.4977030668438,25.0254001422812,-63.1376092712812,7.92,8.3,26.63,7.6,95.2,"36_52_31",810.056375181719,8.3,70,40,0.9,46.7552189126681,17.3254749741368,32.2743381781261,29.522226714343
"10","BeaverDwn_810_0600",55,"2018-08-10 21:34:15",40,70,2018-08-10 21:34:15,24,2018-08-10 21:34:55,824.855587255781,-22.0809473179531,33.0712747743437,-62.119529528625,7.92,7.89,26.65,5.7,95,"26_34_55",824.855587255781,7.89,70,40,0.9,47.3404938789852,17.4238906202443,32.9119138654324,30.0078959539004
"11","BeaverDwn_810_0600",34,"2018-08-10 21:36:42",40,70,2018-08-10 21:36:42,25,2018-08-10 21:37:22,823.003236339219,-21.873015583125,33.512917017625,-62.1872345055625,7.92,7.89,26.65,5.7,95,"26_34_55",823.003236339219,7.89,70,40,0.9,47.3404938789852,17.3847623652392,32.8380046687726,29.9405082142365
"12","BeaverDwn_810_0600",26,"2018-08-10 21:32:03",40,70,2018-08-10 21:32:03,23,2018-08-10 21:32:43,833.151762765156,-21.5573818933125,22.8453825715625,-63.6045968105937,7.92,7.89,26.65,5.7,95,"26_34_55",833.151762765156,7.89,70,40,0.9,47.3404938789852,17.5991354229407,33.2429330377526,30.3097072956031
"13","BeaverDwn_89_1400",1,"2018-08-10 21:07:53",40,70,2018-08-10 21:07:53,13,2018-08-10 21:08:33,635.807426434375,-17.5435342183594,16.1683295203438,-61.7875347614062,8.35,16.64,26.59,41.2,24.5,"1_83_10",635.807426434375,16.64,70,40,0.9,36.5805128990281,17.3810418730151,24.6028577432421,24.1744171694755
"14","BeaverDwn_89_1600",9,"2018-08-10 21:05:41",40,70,2018-08-10 21:05:41,12,2018-08-10 21:06:21,650.067870638978,-18.6580197129892,16.6590796502581,-61.9877504802903,8.4,17.33,26.58,43.2,33.8,"9_30_27",650.067870638978,17.33,70,40,0.9,35.8679131666683,18.1239390097297,25.0949202501966,24.8160197790295
"15","BeaverDwn_89_1600",30,"2018-08-10 20:41:14",40,70,2018-08-10 20:41:14,2,2018-08-10 20:41:54,587.017135838281,-17.1725573490781,15.270142968625,-61.9048326600625,8.4,17.33,26.58,43.2,33.8,"9_30_27",587.017135838281,17.33,70,40,0.9,35.8679131666683,16.3660799866046,22.6609387645641,22.4090891298367
"16","BeaverDwn_89_1600",27,"2018-08-10 20:43:37",40,70,2018-08-10 20:43:37,3,2018-08-10 20:44:17,564.67733489697,-17.0802102700455,15.7792778450303,-61.9060864037273,8.4,17.33,26.58,43.2,33.8,"9_30_27",564.67733489697,17.33,70,40,0.9,35.8679131666683,15.743244728877,21.7985433927141,21.5562782664507
"17","BeaverDwn_89_1800",28,"2018-08-10 20:53:29",40,70,2018-08-10 20:53:29,7,2018-08-10 20:54:09,594.216520545781,-17.9843695304531,15.6017280340937,-62.0549185335313,8.38,15.2,26.56,28.6,63.8,"32_28_7",594.216520545781,15.2,70,40,0.9,38.1251701486676,15.5859375375548,23.1083065562846,22.4101896044211
"18","BeaverDwn_89_1800",7,"2018-08-10 20:46:14",40,70,2018-08-10 20:46:14,4,2018-08-10 20:46:54,612.835833262258,-18.3859429665,15.6796757457742,-62.1882126509032,8.38,15.2,26.56,28.6,63.8,"32_28_7",612.835833262258,15.2,70,40,0.9,38.1251701486676,16.0743107735003,23.8323873774042,23.1123954735831
"19","BeaverDwn_89_1800",32,"2018-08-10 20:56:02",40,70,2018-08-10 20:56:02,8,2018-08-10 20:56:42,675.471321555806,-16.7771706435806,15.4112914249677,-61.7542584549677,8.38,15.2,26.56,28.6,63.8,"32_28_7",675.471321555806,15.2,70,40,0.9,38.1251701486676,17.7172014950185,26.268199938557,25.4746205549973
"20","BeaverDwn_89_2000",24,"2018-08-10 20:51:10",40,70,2018-08-10 20:51:10,6,2018-08-10 20:51:50,574.753666944688,-20.0569182821406,18.8401764096563,-62.279950222375,8.2,12.32,26.55,20.7,73,"3_24_2",574.753666944688,12.32,70,40,0.9,41.4647858220002,13.861247696105,22.5769166561627,21.3483407377559
"21","BeaverDwn_89_2000",2,"2018-08-10 20:58:29",40,70,2018-08-10 20:58:29,9,2018-08-10 20:59:09,580.457068289219,-19.8472037980781,18.2742395436875,-62.3236770830937,8.2,12.32,26.55,20.7,73,"3_24_2",580.457068289219,12.32,70,40,0.9,41.4647858220002,13.9987957680766,22.8009521416545,21.5601848063888
"22","BeaverDwn_89_2000",3,"2018-08-10 21:00:53",40,70,2018-08-10 21:00:53,10,2018-08-10 21:01:33,614.552247728594,-19.6712524787969,19.1454949815,-62.1959570655938,8.2,12.32,26.55,20.7,73,"3_24_2",614.552247728594,12.32,70,40,0.9,41.4647858220002,14.8210640799337,24.1402459449836,22.826597793462
"23","BeaverDwn_89_2200",13,"2018-08-10 20:38:49",40,70,2018-08-10 20:38:49,1,2018-08-10 20:39:29,812.043652709697,-20.9324340099545,25.4482099374848,-62.9325523329394,8.03,10.89,26.59,15.2,83.6,"6_33_13",812.043652709697,10.89,70,40,0.9,43.2574961475193,18.772322141356,32.058502070019,29.9498803055557
"24","BeaverDwn_89_2200",33,"2018-08-10 21:15:04",40,70,2018-08-10 21:15:04,16,2018-08-10 21:15:44,751.983883850469,-21.2362594881719,26.1758748265625,-62.8625215985313,8.03,10.89,26.59,15.2,83.6,"6_33_13",751.983883850469,10.89,70,40,0.9,43.2574961475193,17.3838976090065,29.6874149765192,27.734749527166
"25","BeaverDwn_89_2200",6,"2018-08-10 21:10:14",40,70,2018-08-10 21:10:14,14,2018-08-10 21:10:54,739.633206652187,-21.2350508174063,23.9933637741875,-62.8703797951562,8.03,10.89,26.59,15.2,83.6,"6_33_13",739.633206652187,10.89,70,40,0.9,43.2574961475193,17.0983823041871,29.1998251662842,27.2792305380738
