"","Syringe","ResetTime","H2O_mL","air_mL","CO2","delCO2","CH4","delCH4","SampleID","WaterTemp_C","Baro_inHg","AirTemp_C","pRH"
"1",1,"2018-09-28 23:26:53",40,70,501.955683712609,-21.1252771879783,7.91879797746522,-55.4746812122609,"OakLolomai_927_0600",19.18,26.42,9.3,65.9
"2",6,"2018-09-28 23:29:23",40,70,550.3010216225,-19.8322789473125,7.155343826925,-55.49195090225,"OakLolomai_926_2200",20.87,26.37,15.4,64.2
"3",7,"2018-09-29 00:20:28",40,70,484.987521728696,-19.5165070987826,7.45857857261739,-55.7978601128261,"OakLolomai_926_2000",21.37,26.34,16.7,65.7
"4",10,"2018-09-29 00:15:42",40,70,705.94308707,-17.510457388,7.21844615887083,-55.6025620500417,"OakLolomai_926_1200",27.29,26.4,24.3,40.3
"5",14,"2018-09-28 22:02:22",40,70,1144.21024798043,-16.832045044413,10.244958189087,-56.484836581087,"OakWillow_927_1200",19.68,26.48,31.2,46.3
"6",26,"2018-09-29 00:30:23",40,70,494.411945520625,-20.9478103422708,7.63720771881667,-55.7402072720833,"OakLolomai_927_0200",20.18,26.39,13.6,60
"7",32,"2018-09-28 23:34:11",40,70,1059.09016108043,-19.6033640203696,11.5089754166087,-56.6671628133478,"OakWillow_927_0800",17.74,26.54,14.1,64.7
"8",37,"2018-09-28 20:42:24",40,70,498.148682136875,-21.8982314959583,8.33528814875,-55.61948649475,"OakLolomai_927_0400",19.7,26.39,11.6,68.4
"9",54,"2018-09-29 00:17:58",40,70,519.031590132708,-18.9192978609167,5.76348163824583,-56.1467133927917,"OakLolomai_926_1800",21.78,26.31,22.7,56
"10",55,"2018-09-28 23:48:06",40,70,650.424719619565,-17.7554044064565,6.10205361173478,-55.0524719611304,"OakLolomai_926_1400",22,26.34,33.7,20.2
"11",90,"2018-09-28 21:17:23",40,70,736.162816083768,-19.644230606413,9.98149056652174,-56.2092094696087,"OakLolomai_926_1000",20.09,26.44,29.7,37.4
"12",91,"2018-09-28 20:44:50",40,70,669.021666449783,-18.5185061761087,5.43980588268261,-54.7553129616087,"OakLolomai_927_0000",20.51,26.38,14.5,63.8
"13",97,"2018-09-28 23:36:23",40,70,555.383597368333,-19.0145706719167,5.7533724501375,-54.703942584375,"OakLolomai_926_1600",22.01,26.31,28.9,40.6
"14",98,"2018-09-28 23:43:29",40,70,614.880321018043,-20.6357568142174,8.65410408704783,-55.9489825976087,"OakLolomai_926_0800",19.6,26.44,15.3,81.4
"15",121,"2018-09-28 21:04:27",40,70,1153.76867232083,-19.4153683262708,12.7191126928333,-56.2050593844167,"OakWillow_928_0800",17.71,26.51,14.1,71.4
"16",124,"2018-09-28 20:37:33",40,70,1027.08431661014,-21.1507920317681,11.9877179024783,-55.9808842608261,"OakWillow_928_0400",18.72,26.47,9.3,90.7
"17",128,"2018-09-28 21:19:58",40,70,1020.55823995435,-20.4880624297174,11.8638615152174,-55.8302783135217,"OakWillow_928_0000",20.7,26.44,12.6,89.6
"18",131,"2018-09-28 21:59:56",40,70,1037.25328876739,-18.7128468439565,12.290219255913,-56.0321548031304,"OakWillow_927_2000",20.83,26.39,17.5,65.3
"19",133,"2018-09-29 00:06:01",40,70,1083.2427618471,-16.7823365216739,11.2910485093913,-56.2807270004348,"OakWillow_927_1600",20.85,26.36,25,63.9
"20",3,"2018-09-28 21:55:00",40,70,1180.38656847917,-16.5994170380417,10.985945768375,-56.8504965255,"OakWillow_927_1200",19.68,26.48,31.2,46.3
"21",4,"2018-09-28 21:40:06",40,70,515.611557800833,-20.4521727830625,7.7640709050375,-56.2093341554583,"OakLolomai_927_0000",20.51,26.38,14.5,63.8
"22",17,"2018-09-29 00:03:47",40,70,541.483162648958,-20.6856953677708,8.36306041924167,-55.78541579475,"OakLolomai_927_0200",20.18,26.39,13.6,60
"23",22,"2018-09-29 00:23:00",40,70,543.310921519565,-18.252698109087,5.78031593046957,-55.9229066305217,"OakLolomai_926_1600",22.01,26.31,28.9,40.6
"24",31,"2018-09-28 22:07:39",40,70,606.248989053333,-21.3217492016458,8.367321180075,-55.2745262115,"OakLolomai_926_0600",19.87,26.42,14.2,83.2
"25",34,"2018-09-29 00:10:52",40,70,488.068566206522,-18.7925740086739,5.69094914467391,-55.6868242433913,"OakLolomai_926_1800",21.78,26.31,22.7,56
"26",36,"2018-09-28 23:39:00",40,70,652.667326521042,-17.90697846925,6.882607377225,-55.3395497685,"OakLolomai_926_1200",27.29,26.4,24.3,40.3
"27",38,"2018-09-28 21:57:33",40,70,671.046865867681,-19.615676028471,9.26421841432174,-55.6192538968696,"OakLolomai_926_1000",20.09,26.44,29.7,37.4
"28",39,"2018-09-28 22:17:59",40,70,1119.5478564875,-18.7625101273958,12.4364467452917,-55.0636319388333,"OakWillow_927_0800",17.74,26.54,14.1,64.7
"29",51,"2018-09-29 00:27:38",40,70,496.38075669125,-20.1640311903958,6.77899656739583,-55.9853540458333,"OakLolomai_926_2200",20.87,26.37,15.4,64.2
"30",92,"2018-09-28 22:20:29",40,70,632.578345373542,-17.572662224125,6.13502888355,-55.166263899625,"OakLolomai_926_1400",22,26.34,33.7,20.2
"31",94,"2018-09-28 23:45:45",40,70,495.12970353,-19.8033685642917,7.5205957855,-54.6989544075,"OakLolomai_926_2000",21.37,26.34,16.7,65.7
"32",122,"2018-09-28 21:07:11",40,70,1136.20467424583,-19.3453763843958,13.0151236534583,-56.3697020232083,"OakWillow_928_0800",17.71,26.51,14.1,71.4
"33",127,"2018-09-28 21:50:01",40,70,1050.72757305,-20.8377913510217,12.3274143049565,-56.0750517522174,"OakWillow_928_0400",18.72,26.47,9.3,90.7
"34",129,"2018-09-28 21:02:01",40,70,1022.73562069792,-19.8373776352917,11.6860887307083,-56.1051836894167,"OakWillow_928_0000",20.7,26.44,12.6,89.6
"35",132,"2018-09-28 21:52:36",40,70,1030.48467988958,-19.2607790672917,12.429807384,-55.1088907415,"OakWillow_927_2000",20.83,26.39,17.5,65.3
"36",134,"2018-09-28 21:44:52",40,70,1061.9806168875,-17.2734086636458,10.86817152275,-56.528791247625,"OakWillow_927_1600",20.85,26.36,25,63.9
"37",2,"2018-09-28 21:12:05",40,70,600.413844766087,-21.0073478260217,8.17952413973043,-55.7567530929565,"OakLolomai_926_0800",19.6,26.44,15.3,81.4
"38",5,"2018-09-28 22:05:18",40,70,587.55207851375,-21.4010174102292,8.37005275774167,-56.204398301625,"OakLolomai_926_0600",19.87,26.42,14.2,83.2
"39",9,"2018-09-28 21:14:28",40,70,687.450185910417,-19.3647868017917,10.087797857,-55.720815305875,"OakLolomai_926_1000",20.09,26.44,29.7,37.4
"40",12,"2018-09-28 22:12:52",40,70,506.29135981375,-19.8132388132292,5.57164469209167,-56.6243602987083,"OakLolomai_926_1800",21.78,26.31,22.7,56
"41",13,"2018-09-28 23:31:39",40,70,520.781904311087,-20.8345270907391,8.5202632125087,-56.1319899726522,"OakLolomai_927_0200",20.18,26.39,13.6,60
"42",24,"2018-09-28 21:09:34",40,70,499.604832005076,-21.4817348465455,7.86544589870455,-55.2049162186818,"OakLolomai_927_0400",19.7,26.39,11.6,68.4
"43",27,"2018-09-28 22:10:10",40,70,663.798072470435,-18.0222674277174,7.16282882113913,-55.663877802913,"OakLolomai_926_1200",27.29,26.4,24.3,40.3
"44",29,"2018-09-29 00:08:38",40,70,490.61655539875,-19.669878314125,7.83035654825,-55.596544728375,"OakLolomai_926_2000",21.37,26.34,16.7,65.7
"45",30,"2018-09-28 23:41:21",40,70,549.955262815833,-18.2498852202292,5.51648341088333,-55.4040924855417,"OakLolomai_926_1600",22.01,26.31,28.9,40.6
"46",33,"2018-09-28 23:21:54",40,70,1119.49190229167,-19.1851847418958,12.48419863525,-56.2308571225,"OakWillow_927_0800",17.74,26.54,14.1,64.7
"47",35,"2018-09-29 00:13:07",40,70,598.612051318542,-18.266216102,5.83383441557083,-55.5831971578333,"OakLolomai_926_1400",22,26.34,33.7,20.2
"48",52,"2018-09-29 00:25:21",40,70,506.748711118696,-20.4761218041087,7.84932506728696,-55.6106129021739,"OakLolomai_927_0000",20.51,26.38,14.5,63.8
"49",53,"2018-09-28 23:24:21",40,70,515.433822261304,-19.8966807348913,6.96344251379565,-55.425349378913,"OakLolomai_926_2200",20.87,26.37,15.4,64.2
"50",120,"2018-09-28 21:47:32",40,70,1145.46316028542,-16.7200396856458,10.550019186375,-55.9657039730417,"OakWillow_927_1200",19.68,26.48,31.2,46.3
"51",123,"2018-09-28 20:39:45",40,70,1115.51019150682,-19.7634858735758,12.4265583398182,-56.4796698902727,"OakWillow_928_0800",17.71,26.51,14.1,71.4
"52",125,"2018-09-28 22:15:17",40,70,982.144012886956,-20.2853000883043,11.7076485978261,-55.8084542584783,"OakWillow_928_0000",20.7,26.44,12.6,89.6
"53",126,"2018-09-28 20:59:35",40,70,1022.89272154375,-21.2579498517708,11.937466758625,-56.0823324625,"OakWillow_928_0400",18.72,26.47,9.3,90.7
"54",130,"2018-09-28 20:57:06",40,70,1024.28318878542,-19.1698741655833,12.13428367375,-55.80106015425,"OakWillow_927_2000",20.83,26.39,17.5,65.3
"55",135,"2018-09-28 21:42:28",40,70,1091.36926866522,-17.0058024490652,11.247246027913,-56.855911912087,"OakWillow_927_1600",20.85,26.36,25,63.9
