,Syringe,ResetTime,H2O_mL,air_mL,STARTTIME,CO2,delCO2,CH4,delCH4,SampleID,WaterTemp_C,Baro_inHg,AirTemp_C,pRH
1,12,8/31/2018 20:11,40,70,8/31/2018 20:11,747.7467992,-21.82952681,17.40735116,-62.98886935,Beaver_831_0200,7.88,26.45,6.5,94.5
2,13,8/31/2018 21:11,40,70,8/31/2018 21:10,881.1814021,-20.99264071,17.89984827,-63.17296995,Beaver_830_0600,7.68,26.34,9.1,85.2
3,27,8/31/2018 20:24,40,70,8/31/2018 20:24,783.0614506,-22.0580514,17.32959501,-63.20679812,Beaver_831_0600,7.67,26.45,7.9,95
4,28,8/31/2018 19:19,40,70,8/31/2018 19:19,513.4503874,-22.86899305,14.35165887,-62.28473729,Beaver_830_2000,10.17,26.37,12.4,90.6
5,30,8/31/2018 19:07,40,70,8/31/2018 19:07,757.9853242,-22.08613992,18.16890187,-63.46526697,Beaver_831_0400,7.62,26.46,5.5,94
6,37,8/31/2018 19:27,40,70,8/31/2018 19:26,385.5450113,-22.66788823,10.56643845,-62.77014767,Beaver_830_1800,12.77,26.35,19.1,61.3
7,52,8/31/2018 20:47,40,70,8/31/2018 20:47,763.22298,-21.92048461,15.57654309,-63.21631379,Beaver_830_0800,7.76,26.36,10.6,93.4
8,53,8/31/2018 20:01,40,70,8/31/2018 20:01,574.5204454,-22.42666609,12.94990193,-63.409234,Beaver_830_1000,8.69,26.37,20.7,43.8
9,54,8/31/2018 19:29,40,70,8/31/2018 19:29,487.3991988,-20.64611905,11.53563337,-63.02498582,Beaver_830_1400,12.93,26.36,37,23.6
10,91,8/31/2018 20:54,40,70,8/31/2018 20:54,520.5422185,-22.63452259,12.86018866,-63.35689131,Beaver_830_1200,10.77,26.36,32,21.6
11,93,8/31/2018 20:09,40,70,8/31/2018 20:08,687.086489,-22.50240594,18.82825347,-62.72258894,Beaver_830_2200,9.13,26.41,9.3,93.2
12,97,8/31/2018 19:22,40,70,8/31/2018 19:22,742.7963305,-21.92648835,19.68590779,-63.10635587,Beaver_831_0000,8.33,26.43,6.9,93.9
13,98,8/31/2018 21:04,40,70,8/31/2018 21:03,412.0482583,-20.71361143,11.48701915,-62.535437,Beaver_830_1600,14.16,26.36,38.4,21.6
14,2,8/31/2018 19:09,40,70,8/31/2018 19:09,800.0039136,-21.79127129,17.08900928,-63.48221161,Beaver_831_0600,7.67,26.45,7.9,95
15,5,8/31/2018 20:16,40,70,8/31/2018 20:16,670.116289,-22.16083712,17.84460543,-62.72258452,Beaver_830_2200,9.13,26.41,9.3,93.2
16,7,8/31/2018 20:21,40,70,8/31/2018 20:21,742.3729104,-22.01308364,17.48240496,-63.03682278,Beaver_831_0200,7.88,26.45,6.5,94.5
17,33,8/31/2018 20:52,40,70,8/31/2018 20:52,757.5221306,-22.32476554,15.03229641,-63.47684829,Beaver_830_0800,7.76,26.36,10.6,93.4
18,34,8/31/2018 20:42,40,70,8/31/2018 20:42,784.4880569,-21.70056557,16.59098243,-63.1522208,Beaver_830_0600,7.68,26.34,9.1,85.2
19,35,8/31/2018 20:06,40,70,8/31/2018 20:06,390.0389722,-22.12194471,10.8786673,-62.12933628,Beaver_830_1800,12.77,26.35,19.1,61.3
20,36,8/31/2018 19:12,40,70,8/31/2018 19:12,752.9999762,-22.14289789,17.58000294,-63.5043923,Beaver_831_0400,7.62,26.46,5.5,94
21,38,8/31/2018 19:15,40,70,8/31/2018 19:14,516.5093714,-22.22148561,14.30929838,-62.90506285,Beaver_830_2000,10.17,26.37,12.4,90.6
22,51,8/31/2018 21:01,40,70,8/31/2018 21:01,503.4101985,-22.16249286,11.92125824,-63.25704762,Beaver_830_1200,10.77,26.36,32,21.6
23,56,8/31/2018 21:06,40,70,8/31/2018 21:06,405.1038969,-20.72461223,11.14937331,-62.45758485,Beaver_830_1600,14.16,26.36,38.4,21.6
24,90,8/31/2018 20:14,40,70,8/31/2018 20:13,754.85221,-21.97232908,20.59090817,-63.35935031,Beaver_831_0000,8.33,26.43,6.9,93.9
25,94,8/31/2018 20:04,40,70,8/31/2018 20:04,471.5386503,-20.974228,11.39010767,-62.87828719,Beaver_830_1400,12.93,26.36,37,23.6
26,95,8/31/2018 19:54,40,70,8/31/2018 19:53,578.55959,-21.70110933,13.61597213,-63.03433898,Beaver_830_1000,8.69,26.37,20.7,43.8
27,1,8/31/2018 20:57,40,70,8/31/2018 20:56,787.6600897,-22.04068124,17.09320581,-63.32403653,Beaver_831_0600,7.67,26.45,7.9,95
28,3,8/31/2018 19:59,40,70,8/31/2018 19:58,564.6225975,-22.48363452,12.80953252,-62.97933962,Beaver_830_1000,8.69,26.37,20.7,43.8
29,4,8/31/2018 19:24,40,70,8/31/2018 19:24,512.2469873,-22.73040437,13.89905381,-62.50400838,Beaver_830_2000,10.17,26.37,12.4,90.6
30,6,8/31/2018 19:56,40,70,8/31/2018 19:56,403.9459854,-21.75876093,10.50003441,-62.59537997,Beaver_830_1800,12.77,26.35,19.1,61.3
31,9,8/31/2018 19:31,40,70,8/31/2018 19:31,771.2353602,-21.98725003,18.46182903,-63.3747931,Beaver_831_0400,7.62,26.46,5.5,94
32,10,8/31/2018 19:37,40,70,8/31/2018 19:36,772.3082757,-21.67395709,18.25249586,-63.30304257,Beaver_831_0200,7.88,26.45,6.5,94.5
33,14,8/31/2018 20:19,40,70,8/31/2018 20:19,662.134662,-22.23776342,17.36238484,-62.71762231,Beaver_830_2200,9.13,26.41,9.3,93.2
34,24,8/31/2018 21:08,40,70,8/31/2018 21:08,422.0209144,-20.7101405,11.23953992,-62.49883798,Beaver_830_1600,14.16,26.36,38.4,21.6
35,26,8/31/2018 20:45,40,70,8/31/2018 20:45,761.9661982,-22.1906214,15.84600181,-63.32843476,Beaver_830_0600,7.68,26.34,9.1,85.2
36,29,8/31/2018 19:34,40,70,8/31/2018 19:34,455.553038,-21.01370762,11.20825626,-62.50938817,Beaver_830_1400,12.93,26.36,37,23.6
37,31,8/31/2018 19:17,40,70,8/31/2018 19:17,787.3156023,-21.8689335,20.54902026,-63.13602501,Beaver_831_0000,8.33,26.43,6.9,93.9
38,32,8/31/2018 20:49,40,70,8/31/2018 20:49,738.9062751,-22.10452932,14.75973008,-63.2279567,Beaver_830_0800,7.76,26.36,10.6,93.4
39,39,8/31/2018 20:59,40,70,8/31/2018 20:59,495.8164877,-22.28021904,11.8228952,-63.00842964,Beaver_830_1200,10.77,26.36,32,21.6
